company_id,company_name,period,period_date,revenue_mm,ebitda_mm,ebitda_margin_pct,capex_mm,net_debt_mm
PC002,WindFlow Energy,Q3 2023,2023-07-01,43.6,10.33,23.7,4.04,15.03
PC002,WindFlow Energy,Q4 2023,2023-10-01,46.1,10.93,23.7,6.29,21.41
PC002,WindFlow Energy,Q1 2024,2024-01-01,45.17,10.71,23.7,4.24,15.55
PC002,WindFlow Energy,Q2 2024,2024-04-01,45.25,10.72,23.7,6.16,18.44
PC002,WindFlow Energy,Q3 2024,2024-07-01,44.65,10.58,23.7,4.35,21.54
PC003,GreenBuild Materials,Q1 2021,2021-01-01,42.08,10.77,25.6,6.39,15.54
PC003,GreenBuild Materials,Q2 2021,2021-04-01,40.14,10.28,25.6,4.11,16.11
PC003,GreenBuild Materials,Q3 2021,2021-07-01,43.86,11.23,25.6,6.72,14.83
PC003,GreenBuild Materials,Q4 2021,2021-10-01,41.84,10.71,25.6,6.14,14.11
PC003,GreenBuild Materials,Q1 2022,2022-01-01,46.02,11.78,25.6,4.75,22.29
PC003,GreenBuild Materials,Q2 2022,2022-04-01,46.74,11.97,25.6,4.12,15.05
PC003,GreenBuild Materials,Q3 2022,2022-07-01,47.3,12.11,25.6,6.85,22.32
PC003,GreenBuild Materials,Q4 2022,2022-10-01,45.16,11.56,25.6,4.78,23.26
PC003,GreenBuild Materials,Q1 2023,2023-01-01,48.55,12.43,25.6,6.12,18.82
PC003,GreenBuild Materials,Q2 2023,2023-04-01,47.85,12.25,25.6,6.34,15.53
PC003,GreenBuild Materials,Q3 2023,2023-07-01,49.35,12.63,25.6,6.95,17.47
PC003,GreenBuild Materials,Q4 2023,2023-10-01,51.85,13.27,25.6,5.41,15.9
PC003,GreenBuild Materials,Q1 2024,2024-01-01,52.3,13.39,25.6,6.81,17.17
PC003,GreenBuild Materials,Q2 2024,2024-04-01,53.81,13.78,25.6,5.21,23.32
PC003,GreenBuild Materials,Q3 2024,2024-07-01,54.02,13.83,25.6,5.18,23.26
PC004,AquaPure Technologies,Q1 2021,2021-01-01,26.17,6.99,26.7,2.74,9.29
PC004,AquaPure Technologies,Q2 2021,2021-04-01,28.4,7.58,26.7,3.67,8.63
PC004,AquaPure Technologies,Q3 2021,2021-07-01,27.16,7.25,26.7,3.98,11.28
PC004,AquaPure Technologies,Q4 2021,2021-10-01,27.06,7.22,26.7,2.45,9.29
PC004,AquaPure Technologies,Q1 2022,2022-01-01,30.5,8.14,26.7,3.87,10.81
PC004,AquaPure Technologies,Q2 2022,2022-04-01,30.42,8.12,26.7,3.57,8.25
PC004,AquaPure Technologies,Q3 2022,2022-07-01,29.44,7.86,26.7,2.85,12.93
PC004,AquaPure Technologies,Q4 2022,2022-10-01,30.59,8.16,26.7,3.79,10.11
PC004,AquaPure Technologies,Q1 2023,2023-01-01,31.12,8.3,26.7,2.94,12.47
PC004,AquaPure Technologies,Q2 2023,2023-04-01,32.2,8.59,26.7,4.0,10.53
PC004,AquaPure Technologies,Q3 2023,2023-07-01,31.9,8.51,26.7,2.68,10.15
PC004,AquaPure Technologies,Q4 2023,2023-10-01,33.75,9.01,26.7,4.06,11.21
PC004,AquaPure Technologies,Q1 2024,2024-01-01,34.87,9.3,26.7,3.19,10.9
PC004,AquaPure Technologies,Q2 2024,2024-04-01,35.07,9.36,26.7,3.25,9.8
PC004,AquaPure Technologies,Q3 2024,2024-07-01,34.2,9.13,26.7,3.51,10.96
PC005,TerraFarm Ag,Q1 2021,2021-01-01,26.96,6.26,23.2,2.75,8.79
PC005,TerraFarm Ag,Q2 2021,2021-04-01,28.72,6.66,23.2,4.25,9.73
PC005,TerraFarm Ag,Q3 2021,2021-07-01,27.16,6.3,23.2,4.1,10.14
PC005,TerraFarm Ag,Q4 2021,2021-10-01,28.87,6.7,23.2,2.64,10.36
PC005,TerraFarm Ag,Q1 2022,2022-01-01,30.86,7.16,23.2,3.32,12.72
PC005,TerraFarm Ag,Q2 2022,2022-04-01,30.97,7.19,23.2,2.65,11.85
PC005,TerraFarm Ag,Q3 2022,2022-07-01,29.79,6.91,23.2,2.65,8.51
PC005,TerraFarm Ag,Q4 2022,2022-10-01,30.06,6.97,23.2,3.66,11.79
PC005,TerraFarm Ag,Q1 2023,2023-01-01,32.58,7.56,23.2,3.96,8.67
PC005,TerraFarm Ag,Q2 2023,2023-04-01,32.55,7.55,23.2,4.38,8.8
PC005,TerraFarm Ag,Q3 2023,2023-07-01,32.08,7.44,23.2,3.23,9.94
PC005,TerraFarm Ag,Q4 2023,2023-10-01,34.46,8.0,23.2,3.97,11.2
PC005,TerraFarm Ag,Q1 2024,2024-01-01,34.02,7.89,23.2,4.2,11.78
PC005,TerraFarm Ag,Q2 2024,2024-04-01,35.18,8.16,23.2,3.01,8.48
PC005,TerraFarm Ag,Q3 2024,2024-07-01,35.64,8.27,23.2,2.9,10.46
PC006,EV GridLink,Q1 2021,2021-01-01,37.47,10.27,27.4,5.38,18.28
PC006,EV GridLink,Q2 2021,2021-04-01,37.64,10.32,27.4,5.13,13.95
PC006,EV GridLink,Q3 2021,2021-07-01,35.55,9.74,27.4,3.96,12.57
PC006,EV GridLink,Q4 2021,2021-10-01,36.71,10.06,27.4,4.43,11.35
PC006,EV GridLink,Q1 2022,2022-01-01,39.82,10.91,27.4,4.66,11.59
PC006,EV GridLink,Q2 2022,2022-04-01,39.89,10.93,27.4,5.02,17.26
PC006,EV GridLink,Q3 2022,2022-07-01,41.84,11.47,27.4,5.85,16.8
PC006,EV GridLink,Q4 2022,2022-10-01,40.12,11.0,27.4,5.39,11.91
PC006,EV GridLink,Q1 2023,2023-01-01,43.25,11.85,27.4,5.66,13.62
PC006,EV GridLink,Q2 2023,2023-04-01,43.84,12.01,27.4,5.97,17.89
PC006,EV GridLink,Q3 2023,2023-07-01,45.94,12.59,27.4,6.46,17.16
PC006,EV GridLink,Q4 2023,2023-10-01,47.08,12.9,27.4,5.24,12.35
PC006,EV GridLink,Q1 2024,2024-01-01,50.68,13.89,27.4,5.47,13.35
PC006,EV GridLink,Q2 2024,2024-04-01,51.57,14.13,27.4,7.52,12.07
PC006,EV GridLink,Q3 2024,2024-07-01,52.56,14.4,27.4,6.22,17.94
PC007,CircularPack,Q1 2021,2021-01-01,23.54,5.79,24.6,2.64,9.41
PC007,CircularPack,Q2 2021,2021-04-01,25.04,6.16,24.6,3.91,8.38
PC007,CircularPack,Q3 2021,2021-07-01,25.89,6.37,24.6,3.12,8.07
PC007,CircularPack,Q4 2021,2021-10-01,24.02,5.91,24.6,3.48,7.38
PC007,CircularPack,Q1 2022,2022-01-01,28.06,6.9,24.6,2.68,10.0
PC007,CircularPack,Q2 2022,2022-04-01,28.37,6.98,24.6,2.51,7.56
PC007,CircularPack,Q3 2022,2022-07-01,29.85,7.34,24.6,4.35,10.79
PC007,CircularPack,Q4 2022,2022-10-01,28.13,6.92,24.6,3.54,7.95
PC007,CircularPack,Q1 2023,2023-01-01,30.76,7.57,24.6,2.93,10.08
PC007,CircularPack,Q2 2023,2023-04-01,30.72,7.56,24.6,3.32,9.49
PC007,CircularPack,Q3 2023,2023-07-01,31.32,7.7,24.6,4.49,9.81
PC007,CircularPack,Q4 2023,2023-10-01,32.69,8.04,24.6,3.06,10.03
PC007,CircularPack,Q1 2024,2024-01-01,32.57,8.01,24.6,4.38,10.93
PC007,CircularPack,Q2 2024,2024-04-01,32.73,8.05,24.6,2.94,7.61
PC007,CircularPack,Q3 2024,2024-07-01,33.78,8.31,24.6,4.21,10.65
PC008,BioEnergy Solutions,Q1 2021,2021-01-01,23.05,5.3,23.0,3.21,8.1
PC008,BioEnergy Solutions,Q2 2021,2021-04-01,24.76,5.7,23.0,2.48,9.53
PC008,BioEnergy Solutions,Q3 2021,2021-07-01,24.45,5.62,23.0,3.53,7.7
PC008,BioEnergy Solutions,Q4 2021,2021-10-01,24.35,5.6,23.0,2.75,7.06
PC008,BioEnergy Solutions,Q1 2022,2022-01-01,27.4,6.3,23.0,3.52,8.86
PC008,BioEnergy Solutions,Q2 2022,2022-04-01,27.98,6.44,23.0,2.75,8.59
PC008,BioEnergy Solutions,Q3 2022,2022-07-01,26.8,6.16,23.0,3.61,7.75
PC008,BioEnergy Solutions,Q4 2022,2022-10-01,27.14,6.24,23.0,2.62,9.68
PC008,BioEnergy Solutions,Q1 2023,2023-01-01,28.97,6.66,23.0,3.56,8.31
PC008,BioEnergy Solutions,Q2 2023,2023-04-01,28.89,6.65,23.0,2.43,7.96
PC008,BioEnergy Solutions,Q3 2023,2023-07-01,29.45,6.77,23.0,3.55,8.86
PC008,BioEnergy Solutions,Q4 2023,2023-10-01,31.45,7.23,23.0,3.22,7.24
PC008,BioEnergy Solutions,Q1 2024,2024-01-01,30.62,7.04,23.0,2.93,8.66
PC008,BioEnergy Solutions,Q2 2024,2024-04-01,31.51,7.25,23.0,2.93,8.7
PC008,BioEnergy Solutions,Q3 2024,2024-07-01,31.89,7.33,23.0,2.54,7.3
PC001,SolarEdge Systems,Q4 2024,2024-10-01,57.82,15.42,26.7,5.9,26.11
PC002,WindFlow Energy,Q4 2024,2024-10-01,45.89,10.88,23.7,4.5,20.12
PC003,GreenBuild Materials,Q4 2024,2024-10-01,55.48,14.20,25.6,5.6,22.15
PC004,AquaPure Technologies,Q4 2024,2024-10-01,35.92,9.58,26.7,3.6,11.25
PC005,TerraFarm Ag,Q4 2024,2024-10-01,36.21,8.40,23.2,3.5,10.85
PC006,EV GridLink,Q4 2024,2024-10-01,54.12,14.83,27.4,6.1,15.25
PC007,CircularPack,Q4 2024,2024-10-01,34.52,8.49,24.6,3.8,9.85
PC008,BioEnergy Solutions,Q4 2024,2024-10-01,32.45,7.46,23.0,3.1,8.45
