company_id,company_name,period,period_date,revenue_mm,ebitda_mm,ebitda_margin_pct,scenario,data_type
PC005,TerraFarm Ag,Q1 2027,2027-01-01,47.3,11.0,23.2,Base,Forecast
PC005,TerraFarm Ag,Q2 2027,2027-04-01,48.7,11.3,23.2,Base,Forecast
PC005,TerraFarm Ag,Q3 2027,2027-07-01,50.2,11.6,23.2,Base,Forecast
PC005,TerraFarm Ag,Q4 2027,2027-10-01,51.7,12.0,23.2,Base,Forecast
PC005,TerraFarm Ag,Q1 2028,2028-01-01,53.3,12.4,23.2,Base,Forecast
PC005,TerraFarm Ag,Q2 2028,2028-04-01,54.9,12.7,23.2,Base,Forecast
PC005,TerraFarm Ag,Q3 2028,2028-07-01,56.5,13.1,23.2,Base,Forecast
PC005,TerraFarm Ag,Q4 2028,2028-10-01,58.2,13.5,23.2,Base,Forecast
PC006,EV GridLink,Q1 2025,2025-01-01,55.7,15.3,27.4,Base,Forecast
PC006,EV GridLink,Q2 2025,2025-04-01,57.4,15.7,27.4,Base,Forecast
PC006,EV GridLink,Q3 2025,2025-07-01,59.1,16.2,27.4,Base,Forecast
PC006,EV GridLink,Q4 2025,2025-10-01,60.9,16.7,27.4,Base,Forecast
PC006,EV GridLink,Q1 2026,2026-01-01,62.7,17.2,27.4,Base,Forecast
PC006,EV GridLink,Q2 2026,2026-04-01,64.6,17.7,27.4,Base,Forecast
PC006,EV GridLink,Q3 2026,2026-07-01,66.5,18.2,27.4,Base,Forecast
PC006,EV GridLink,Q4 2026,2026-10-01,68.5,18.8,27.4,Base,Forecast
PC006,EV GridLink,Q1 2027,2027-01-01,70.6,19.3,27.4,Base,Forecast
PC006,EV GridLink,Q2 2027,2027-04-01,72.7,19.9,27.4,Base,Forecast
PC006,EV GridLink,Q3 2027,2027-07-01,74.9,20.5,27.4,Base,Forecast
PC006,EV GridLink,Q4 2027,2027-10-01,77.1,21.1,27.4,Base,Forecast
PC006,EV GridLink,Q1 2028,2028-01-01,79.4,21.8,27.4,Base,Forecast
PC006,EV GridLink,Q2 2028,2028-04-01,81.8,22.4,27.4,Base,Forecast
PC006,EV GridLink,Q3 2028,2028-07-01,84.3,23.1,27.4,Base,Forecast
PC006,EV GridLink,Q4 2028,2028-10-01,86.8,23.8,27.4,Base,Forecast
PC007,CircularPack,Q1 2025,2025-01-01,35.6,8.7,24.6,Base,Forecast
PC007,CircularPack,Q2 2025,2025-04-01,36.6,9.0,24.6,Base,Forecast
PC007,CircularPack,Q3 2025,2025-07-01,37.7,9.3,24.6,Base,Forecast
PC007,CircularPack,Q4 2025,2025-10-01,38.9,9.6,24.6,Base,Forecast
PC007,CircularPack,Q1 2026,2026-01-01,40.0,9.9,24.6,Base,Forecast
PC007,CircularPack,Q2 2026,2026-04-01,41.2,10.1,24.6,Base,Forecast
PC007,CircularPack,Q3 2026,2026-07-01,42.5,10.4,24.6,Base,Forecast
PC007,CircularPack,Q4 2026,2026-10-01,43.7,10.8,24.6,Base,Forecast
PC007,CircularPack,Q1 2027,2027-01-01,45.1,11.1,24.6,Base,Forecast
PC007,CircularPack,Q2 2027,2027-04-01,46.4,11.4,24.6,Base,Forecast
PC007,CircularPack,Q3 2027,2027-07-01,47.8,11.8,24.6,Base,Forecast
PC007,CircularPack,Q4 2027,2027-10-01,49.2,12.1,24.6,Base,Forecast
PC007,CircularPack,Q1 2028,2028-01-01,50.7,12.5,24.6,Base,Forecast
PC007,CircularPack,Q2 2028,2028-04-01,52.2,12.9,24.6,Base,Forecast
PC007,CircularPack,Q3 2028,2028-07-01,53.8,13.2,24.6,Base,Forecast
PC007,CircularPack,Q4 2028,2028-10-01,55.4,13.6,24.6,Base,Forecast
PC008,BioEnergy Solutions,Q1 2025,2025-01-01,33.4,7.7,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q2 2025,2025-04-01,34.4,7.9,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q3 2025,2025-07-01,35.5,8.2,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q4 2025,2025-10-01,36.5,8.4,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q1 2026,2026-01-01,37.6,8.7,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q2 2026,2026-04-01,38.8,8.9,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q3 2026,2026-07-01,39.9,9.2,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q4 2026,2026-10-01,41.1,9.5,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q1 2027,2027-01-01,42.4,9.7,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q2 2027,2027-04-01,43.6,10.0,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q3 2027,2027-07-01,44.9,10.3,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q4 2027,2027-10-01,46.3,10.6,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q1 2028,2028-01-01,47.7,11.0,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q2 2028,2028-04-01,49.1,11.3,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q3 2028,2028-07-01,50.6,11.6,23.0,Base,Forecast
PC008,BioEnergy Solutions,Q4 2028,2028-10-01,52.1,12.0,23.0,Base,Forecast
